[2023-08-15 09:56:41] ==> technology
[2023-08-15 10:01:53] ==> mathematics
[2023-08-15 10:08:33] ==> mathematics
[2023-08-15 10:08:33] ==> mathematics
[2023-08-15 10:09:11] ==> physics
[2023-08-15 10:09:11] ==> physics
[2023-08-15 10:30:02] ==> 3
[2023-08-15 10:30:09] ==> 2
[2023-08-15 10:30:09] ==> 2
[2023-08-17 08:02:17] ==> 1
[2023-08-17 08:02:17] ==> 2
[2023-08-17 08:02:41] ==> 1
[2023-08-17 08:02:41] ==> 2
[2023-08-17 08:02:42] ==> 1
[2023-08-17 08:02:42] ==> 2
[2023-08-17 08:02:46] ==> 1
[2023-08-17 08:02:46] ==> 2
[2023-08-17 08:02:59] ==> 9
[2023-08-17 08:02:59] ==> 10
[2023-08-17 08:04:12] ==> 9
[2023-08-17 08:04:12] ==> 10
[2023-08-17 08:04:12] ==> 9
[2023-08-17 08:04:12] ==> 10
[2023-08-17 08:05:20] ==> 9
[2023-08-17 08:05:20] ==> 10
[2023-08-17 08:05:32] ==> 9
[2023-08-17 08:05:32] ==> 10
